nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
ASAHISONG,ASAHISONG.NS,Asahi Songwon Colors Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ASAL,ASAL.NS,Automotive Stampings and Assemblies Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ASALCBR,ASALCBR.NS,Associated Alcohols & Breweries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
ASHAPURMIN,ASHAPURMIN.NS,Ashapura Minechem Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ASHIANA,ASHIANA.NS,Ashiana Housing Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ASHIMASYN,ASHIMASYN.NS,Ashima Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited,Industrials,NIFTY INFRA,^CNXINFRA
ASHOKAMET,ASHOKAMET.NS,Ashoka Metcast Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,NIFTY INFRA,^CNXINFRA
ASIANENE,ASIANENE.NS,Asian Energy Services Limited,Energy,NIFTY ENERGY,^CNXENERGY
ASIANHOTNR,ASIANHOTNR.NS,Asian Hotels (North) Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ASIANTILES,ASIANTILES.NS,Asian Granito India Limited,Industrials,NIFTY INFRA,^CNXINFRA
ASKAUTOLTD,ASKAUTOLTD.NS,ASKAUTOLTD,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ASMS,ASMS.NS,Bartronics India Limited,Technology,NIFTY IT,^CNXIT
ASPINWALL,ASPINWALL.NS,Aspinwall and Company Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
ASTEC,ASTEC.NS,Astec LifeSciences Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ASTRAL,ASTRAL.NS,Astral Limited,Industrials,NIFTY INFRA,^CNXINFRA
ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited,Technology,NIFTY IT,^CNXIT
ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ASTRON,ASTRON.NS,Astron Paper & Board Mill Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ATALREAL,ATALREAL.NS,Atal Realtech Limited,Industrials,NIFTY INFRA,^CNXINFRA
ATAM,ATAM.NS,Atam Valves Limited,Industrials,NIFTY INFRA,^CNXINFRA
ATGL,ATGL.NS,Adani Total Gas Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
ATHERENERG,ATHERENERG.NS,Ather Energy Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ATL,ATL.NS,Allcargo Terminals Limited,Industrials,NIFTY INFRA,^CNXINFRA
ATLANTAELE,ATLANTAELE.NS,ATLANTAELE,Industrials,NIFTY INFRA,^CNXINFRA
ATLASCYCLE,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ATUL,ATUL.NS,Atul Ltd,Basic Materials,NIFTY METAL,^CNXMETAL
ATULAUTO,ATULAUTO.NS,Atul Auto Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AUBANK,AUBANK.NS,AU Small Finance Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AURIONPRO,AURIONPRO.NS,Aurionpro Solutions Limited,Technology,NIFTY IT,^CNXIT
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
AURUM,AURUM.NS,Aurum PropTech Limited,Real Estate,NIFTY REALTY,^CNXREALTY
AUSOMENT,AUSOMENT.NS,AuSom Enterprise Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AUTOIND,AUTOIND.NS,Autoline Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
AVALON,AVALON.NS,Avalon Technologies Limited,Technology,NIFTY IT,^CNXIT
AVANTEL,AVANTEL.NS,Avantel Limited,Technology,NIFTY IT,^CNXIT
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
AVG,AVG.NS,AVG Logistics Limited,Industrials,NIFTY INFRA,^CNXINFRA
AVL,AVL.NS,Aditya Vision Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AVONMORE,AVONMORE.NS,Avonmore Capital & Management Services Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AVROIND,AVROIND.NS,Avro India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AVTNPL,AVTNPL.NS,AVT Natural Products Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AWFIS,AWFIS.NS,AWFIS,Industrials,NIFTY INFRA,^CNXINFRA
AWHCL,AWHCL.NS,Antony Waste Handling Cell Limited,Industrials,NIFTY INFRA,^CNXINFRA
AWL,AWL.NS,AWL Agri Business Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
AXISBANK,AXISBANK.NS,Axis Bank Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AYMSYNTEX,AYMSYNTEX.NS,AYM Syntex Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AZAD,AZAD.NS,AZAD,Industrials,NIFTY INFRA,^CNXINFRA
